# $1: Tindex
# $2: 1/T
# $3: participation ratio
0 0.01 1.0
1 0.016237767391887217 1.0
2 0.026366508987303583 1.0
3 0.04281332398719394 1.0
4 0.06951927961775606 1.0
5 0.11288378916846889 1.0
6 0.18329807108324356 1.0
7 0.29763514416313175 1.0
8 0.4832930238571752 1.0
9 0.7847599703514611 1.0
10 1.2742749857031335 1.0
11 2.06913808111479 1.0
12 3.359818286283781 1.0
13 5.455594781168514 1.0
14 8.858667904100823 1.0
15 14.38449888287663 1.0
16 23.357214690901213 1.0
17 37.92690190732246 1.0
18 61.584821106602604 1.0
19 100.0 1.0
