#step x1 x2 x3 fx x1_action x2_action x3_action fx_action
0 6.1 0.044750000000000005 9.2 3741221257.782724 6.1 0.044750000000000005 9.2 3741221257.782724
1 7.4 0.018500000000000003 8.4 266207.7831385981 7.4 0.018500000000000003 8.4 266207.7831385981
2 7.4 0.018500000000000003 8.4 266207.7831385981 7.5 0.0395 8.0 845260.8322646543
3 7.4 0.018500000000000003 8.4 266207.7831385981 6.6 0.044750000000000005 9.2 1019076129.4896091
4 7.4 0.018500000000000003 8.4 266207.7831385981 6.4 0.008 8.0 2508292811.6142154
5 7.4 0.018500000000000003 8.4 266207.7831385981 6.3 0.044750000000000005 8.2 3004901879.869773
6 7.4 0.018500000000000003 8.4 266207.7831385981 6.5 0.013250000000000001 8.4 1837892574.7603261
7 7.4 0.018500000000000003 8.4 266207.7831385981 8.0 0.029 8.0 1886784.0277382133
8 7.3 0.05 8.6 256476.18759814583 7.3 0.05 8.6 256476.18759814583
9 7.3 0.05 8.6 256476.18759814583 6.5 0.05 8.6 1837877466.6113544
10 6.8 0.0395 9.2 151138.87308048998 6.8 0.0395 9.2 151138.87308048998
11 6.8 0.0395 9.2 151138.87308048998 7.7 0.0395 9.2 200953.6104698392
12 6.8 0.0395 9.2 151138.87308048998 8.0 0.05 9.2 290529.9043871691
13 6.8 0.0395 9.2 151138.87308048998 8.0 0.044750000000000005 9.2 280053.0419891016
14 6.8 0.0395 9.2 151138.87308048998 8.0 0.0395 9.2 269237.8323367495
15 6.8 0.0395 9.2 151138.87308048998 8.0 0.03425 9.2 257892.372137296
16 6.8 0.0395 9.2 151138.87308048998 8.0 0.029 9.2 245971.75971991286
17 6.8 0.0395 9.2 151138.87308048998 8.0 0.02375 9.2 233741.0013411978
18 6.8 0.0395 9.2 151138.87308048998 8.0 0.018500000000000003 9.2 220950.2053384034
19 6.8 0.0395 9.2 151138.87308048998 8.0 0.008 9.2 20196152.850131445
20 6.8 0.0395 9.2 151138.87308048998 8.0 0.013250000000000001 9.2 208348.3285933087
21 6.8 0.0395 9.2 151138.87308048998 8.0 0.008 9.0 20216295.816911533
22 6.8 0.0395 9.2 151138.87308048998 8.0 0.013250000000000001 9.0 241440.18140366912
23 6.8 0.0395 9.2 151138.87308048998 8.0 0.018500000000000003 9.0 266207.50976054487
24 6.8 0.0395 9.2 151138.87308048998 7.9 0.008 9.2 20189729.992040306
25 6.8 0.0395 9.2 151138.87308048998 7.9 0.013250000000000001 9.2 197433.49648506308
26 6.8 0.0395 9.2 151138.87308048998 8.0 0.02375 9.0 289757.741428907
27 6.8 0.0395 9.2 151138.87308048998 7.9 0.018500000000000003 9.2 205815.74033106715
28 6.8 0.0395 9.2 151138.87308048998 8.0 0.008 8.799999999999999 20250164.173309635
29 6.8 0.0395 9.2 151138.87308048998 7.9 0.008 9.0 20204825.32931245
30 6.8 0.0395 9.2 151138.87308048998 8.0 0.013250000000000001 8.799999999999999 296938.6532232209
31 6.8 0.0395 9.2 151138.87308048998 7.9 0.02375 9.2 214616.18691528865
32 6.8 0.0395 9.2 151138.87308048998 7.8 0.008 9.2 20185039.82065555
33 6.8 0.0395 9.2 151138.87308048998 8.0 0.029 9.0 312008.96938347374
34 6.8 0.0395 9.2 151138.87308048998 7.9 0.013250000000000001 9.0 222673.25110389237
35 6.8 0.0395 9.2 151138.87308048998 8.0 0.018500000000000003 8.799999999999999 340971.00684055977
36 6.8 0.0395 9.2 151138.87308048998 7.8 0.013250000000000001 9.2 188945.02525893028
37 6.8 0.0395 9.2 151138.87308048998 8.0 0.008 8.6 20307109.3127795
38 6.8 0.0395 9.2 151138.87308048998 8.0 0.03425 9.0 332741.851972293
39 6.8 0.0395 9.2 151138.87308048998 8.0 0.02375 8.799999999999999 381045.0724550077
40 6.8 0.0395 9.2 151138.87308048998 7.9 0.029 9.2 223517.72854109865
41 6.8 0.0395 9.2 151138.87308048998 7.9 0.018500000000000003 9.0 240781.4716050403
